Ano;Mês;"Código NCM";"Descrição NCM";Países;"Bloco Econômico";Via;"Valor FOB (US$)";"Quilograma Líquido"
2020;12;29322000;Lactonas;Alemanha;Europa;AEREA;10885;800
2020;12;29322000;Lactonas;Alemanha;Europa;MARITIMA;2714440;46725
2020;12;29322000;Lactonas;Alemanha;"União Europeia - UE";AEREA;10885;800
2020;12;29322000;Lactonas;Alemanha;"União Europeia - UE";MARITIMA;2714440;46725
2020;12;29322000;Lactonas;Argentina;"América do Sul";RODOVIARIA;5000;2000
2020;12;29322000;Lactonas;Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;5000;2000
2020;12;29322000;Lactonas;Canadá;"América do Norte";AEREA;4875;0
2020;12;29322000;Lactonas;China;"Ásia (Exclusive Oriente Médio)";AEREA;2700240;2969
2020;12;29322000;Lactonas;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;2998256;334473
2020;12;29322000;Lactonas;Espanha;Europa;AEREA;1661;206
2020;12;29322000;Lactonas;Espanha;Europa;MARITIMA;146534;17502
2020;12;29322000;Lactonas;Espanha;"União Europeia - UE";AEREA;1661;206
2020;12;29322000;Lactonas;Espanha;"União Europeia - UE";MARITIMA;146534;17502
2020;12;29322000;Lactonas;"Estados Unidos";"América do Norte";AEREA;54776;41
2020;12;29322000;Lactonas;"Estados Unidos";"América do Norte";MARITIMA;358667;18251
2020;12;29322000;Lactonas;França;Europa;AEREA;5267;45
2020;12;29322000;Lactonas;França;Europa;MARITIMA;32490;20065
2020;12;29322000;Lactonas;França;"União Europeia - UE";AEREA;5267;45
2020;12;29322000;Lactonas;França;"União Europeia - UE";MARITIMA;32490;20065
2020;12;29322000;Lactonas;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;1055924;2949
2020;12;29322000;Lactonas;Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;296451;82400
2020;12;29322000;Lactonas;Israel;"Oriente Médio";AEREA;405;0
2020;12;29322000;Lactonas;Itália;Europa;AEREA;1766852;527
2020;12;29322000;Lactonas;Itália;Europa;MARITIMA;41594;20000
2020;12;29322000;Lactonas;Itália;"União Europeia - UE";AEREA;1766852;527
2020;12;29322000;Lactonas;Itália;"União Europeia - UE";MARITIMA;41594;20000
2020;12;29322000;Lactonas;Japão;"Ásia (Exclusive Oriente Médio)";MARITIMA;81159;16720
2020;12;29322000;Lactonas;"Países Baixos (Holanda)";Europa;AEREA;128;1
2020;12;29322000;Lactonas;"Países Baixos (Holanda)";"União Europeia - UE";AEREA;128;1
2020;12;29322000;Lactonas;Polônia;Europa;AEREA;33629;17
2020;12;29322000;Lactonas;Polônia;"União Europeia - UE";AEREA;33629;17
2020;12;29322000;Lactonas;"Reino Unido";Europa;AEREA;2364;92
2020;12;29322000;Lactonas;"Reino Unido";Europa;MARITIMA;262;1
2020;12;29322000;Lactonas;Romênia;Europa;AEREA;1642;16
2020;12;29322000;Lactonas;Romênia;Europa;MARITIMA;23420;1030
2020;12;29322000;Lactonas;Romênia;"União Europeia - UE";AEREA;1642;16
2020;12;29322000;Lactonas;Romênia;"União Europeia - UE";MARITIMA;23420;1030
2020;12;29322000;Lactonas;Suíça;Europa;AEREA;12949;11
2020;12;29322000;Lactonas;Suíça;Europa;MARITIMA;43613;80
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Canadá;"América do Norte";AEREA;1920;0
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";China;"Ásia (Exclusive Oriente Médio)";AEREA;131;0
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";China;"Ásia (Exclusive Oriente Médio)";MARITIMA;479521;65600
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;Europa;AEREA;105702;18
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;Europa;MARITIMA;16156;51
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;"União Europeia - UE";AEREA;105702;18
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Espanha;"União Europeia - UE";MARITIMA;16156;51
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";"Estados Unidos";"América do Norte";AEREA;35017;0
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";França;Europa;AEREA;50;0
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";França;"União Europeia - UE";AEREA;50;0
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Índia;"Ásia (Exclusive Oriente Médio)";AEREA;192418;1631
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Israel;"Oriente Médio";AEREA;92;0
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Japão;"Ásia (Exclusive Oriente Médio)";AEREA;115;1
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Japão;"Ásia (Exclusive Oriente Médio)";MARITIMA;3416;12
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";"Reino Unido";Europa;AEREA;164;0
2020;12;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";Suíça;Europa;AEREA;3216;5
2020;12;30039069;"Medicamento contendo outros tiocompostos orgânicos, etc.exceto em doses";Itália;Europa;AEREA;122968;700
2020;12;30039069;"Medicamento contendo outros tiocompostos orgânicos, etc.exceto em doses";Itália;"União Europeia - UE";AEREA;122968;700
2020;12;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";China;"Ásia (Exclusive Oriente Médio)";MARITIMA;221598;20000
2020;12;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";Índia;"Ásia (Exclusive Oriente Médio)";AEREA;276100;1006
2020;12;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;166487;13400
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;Europa;AEREA;610871;519
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;Europa;MARITIMA;2176584;5805
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;"União Europeia - UE";AEREA;610871;519
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Alemanha;"União Europeia - UE";MARITIMA;2176584;5805
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"América do Sul";AEREA;521118;1594
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"América do Sul";RODOVIARIA;93626;10174
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"Mercado Comum do Sul - Mercosul";AEREA;521118;1594
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;93626;10174
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Áustria;Europa;AEREA;81319;844
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Áustria;"União Europeia - UE";AEREA;81319;844
2020;12;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";Dinamarca;Europa;MARITIMA;247678;1475
